시도교육청,교육지원청,지역,정보공시 학교코드,학교명,학교급코드,설립구분,학교특성,분교여부,설립유형,주야구분,개교기념일,설립일,법정동코드,주소내역,상세주소내역,우편번호,학교도로명 우편번호,학교도로명 주소,학교도로명 상세주소,위도,경도,전화번호,팩스번호,홈페이지 주소,남녀공학 구분,폐교여부,폐교일자,휴교여부
교육부,교육부,충청남도 공주시,S000003496,국립공주대학교사범대학부설고등학교,04,국립,일반고등학교,N,부설,주간,19530301,19530201,4415010200,충청남도 공주시 반죽동,322-1.,314801,32550,충청남도 공주시 봉황로 75,공주대학교사범대학부설고등학교,36.45262067,127.1201441,041-851-4150,041-856-9537,http://woollim.cnehs.kr,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 홍성군,S120000123,갈산고등학교,04,공립,일반고등학교,N,병설,주간,19760310,19751114,4480038021,충청남도 홍성군 갈산면 상촌리,227-1.,350853,32202,충청남도 홍성군 갈산면 상촌로9번길 39,"(갈산면,갈산중학교)",36.60549794,126.5485309,041-634-5308,041-634-5670,http://galsan.cnehs.kr,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 논산시,S120000124,강경고등학교,04,공립,일반고등학교,N,단설,주간,19360411,19360411,4423025021,충청남도 논산시 강경읍 남교리,48번지.,320901,32938,충청남도 논산시 강경읍 계백로 188,"(강경읍, 강경고등학교)",36.15899682,127.0200617,041-745-1903,041-745-1504,http://www.ganggyeong.cnehs.kr/main.do,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 논산시,S120000126,강경상업고등학교,04,공립,특성화고등학교,N,단설,주간,19200525,19200525,4423025021,충청남도 논산시 강경읍 남교리,1번지.,320901,32938,충청남도 논산시 강경읍 계백로 220,"(강경읍, 강경상업정보고등학교)",36.16090331,127.0226672,041-745-2313,041-745-2513,http://www.gangsang.cnehs.kr,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 논산시,S120000128,건양대학교병설건양고등학교,04,사립,일반고등학교,N,병설,주간,19800516,19790826,4423039028,충청남도 논산시 양촌면 남산리,564,320852,33022,충청남도 논산시 양촌면 황산벌로 486-21,(양촌면),36.14153102,127.2342694,041-741-2101,041-741-7939,http://konyang.cnehs.kr,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 홍성군,S120000130,홍성공업고등학교,04,공립,특성화고등학교,N,단설,주간,19810115,19810115,4480036021,충청남도 홍성군 결성면 읍내리,527-1.,350873,32212,충청남도 홍성군 결성면 구성남로 55,", 홍성공업고등학교 (결성면)",36.53052807,126.548891,041-642-8218,041-642-0966,http://www.hstec.cnehs.kr/,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 공주시,S120000131,공주고등학교,04,공립,일반고등학교,N,단설,주간,19220422,19220422,4415010300,충청남도 공주시 중학동,137,314070,32564,충청남도 공주시 공주고담길 2,"(중학동, 공주고등학교)",36.44816912,127.1234746,041-855-1701,041-855-1707,http://www.kongjugo.cnehs.kr,남,N,,N
충청남도교육청,충청남도교육청,충청남도 공주시,S120000132,공주마이스터고등학교,04,공립,특수목적고등학교,N,단설,주간,19711227,19711227,4415025021,충남 공주시 유구읍 백교리,133,314892,32506,충청남도 공주시 유구읍 중앙1길 27-12,", 공주마이스터고등학교 (유구읍)",36.54761258,126.9488162,041-841-2701,041-841-4920,http://gong.cnehs.kr,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 공주시,S120000133,공주금성여자고등학교,04,사립,일반고등학교,N,단설,주간,19791021,19791021,4415010700,충청남도 공주시 웅진동,277,314020,32542,충청남도 공주시 무령로 103,"(웅진동, 공주금성여자고등학교)",36.45847197,127.1117595,041-854-3966,041-853-1416,ksgh.cnehs.kr,녀,N,,N
충청남도교육청,충청남도교육청,충청남도 공주시,S120000134,공주생명과학고등학교,04,공립,특성화고등학교,N,단설,주간,19330519,19330519,4415012000,충청남도 공주시 신관동,495-3.,314803,32529,충청남도 공주시 금벽로 317,(신관동),36.47398876,127.1239574,041-858-3500,041-858-3513,http://gongju-agr.cnehs.kr,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 공주시,S120000135,공주여자고등학교,04,공립,일반고등학교,N,단설,주간,19280228,19280228,4415011000,충청남도 공주시 금학동,241번지.,314080,32602,충청남도 공주시 공주여고길 14-1,"(금학동, 공주여자고등학교)",36.44030747,127.1198173,041-855-1222,041-856-1059,http://www.gongju-gh.cnehs.kr,녀,N,,N
충청남도교육청,충청남도교육청,충청남도 공주시,S120000137,공주영명고등학교,04,사립,일반고등학교,N,병설,주간,19061015,19061015,4415010400,충청남도 공주시 중동,318,314050,32563,충청남도 공주시 영명학당2길 33,"(중동,공주영명중고등학교)",36.45087621,127.1269235,041-854-3384,041-853-9781,http://ymhigh.cnehs.kr/main.do,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 공주시,S120000138,공주정보고등학교,04,사립,특성화고등학교,N,단설,주간,19790317,19781108,4415012100,충청남도 공주시 금흥동,1-1.,32589,32589,충청남도 공주시 마근동길 29,"(금흥동,공주정보고등학교)",36.48534026,127.1572047,041-856-1674,041-856-1675,kjis.cnehs.kr,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 홍성군,S120000139,한국K-POP고등학교,04,사립,특성화고등학교,N,단설,주간,19621231,19621231,4480025321,충청남도 홍성군 광천읍 신진리,367,350906,32291,충청남도 홍성군 광천읍 광천로373번길 14,(광천읍),36.50775179,126.621805,041-641-6433,041-641-6430,http://k-pophs.cnehs.kr,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 홍성군,S120000143,충남드론항공고등학교,04,공립,특성화고등학교,N,단설,주간,19520622,19520522,4480025322,충남 홍성군 광천읍 광천리,124-11.,350902,32292,충청남도 홍성군 광천읍 홍남로 695,(광천읍),36.50499577,126.6277245,041-641-0602,041-641-1883,http://www.cda.cnehs.kr,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 금산군,S120000144,금산고등학교,04,공립,일반고등학교,N,단설,주간,19520614,19520614,4471025022,충청남도 금산군 금산읍 중도리,166,312806,32734,충청남도 금산군 금산읍 탑선길 5,"(금산읍, 금산중고등학교)",36.10689599,127.4956787,041-753-7152,041-753-7156,http://www.kumsan.cnehs.kr,남,N,,N
충청남도교육청,충청남도교육청,충청남도 금산군,S120000146,금산산업고등학교,04,공립,특성화고등학교,N,단설,주간,19510831,19510831,4471025025,충청남도 금산군 금산읍 아인리,107,312805,32742,충청남도 금산군 금산읍 진악로 1003,(금산읍),36.10412109,127.4795317,041-753-5101,041-753-5106,http://www.kumsan-ih.cnehs.kr/,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 금산군,S120000147,금산여자고등학교,04,공립,자율고등학교,N,단설,주간,19570314,19570314,4471025025,충청남도 금산군 금산읍 아인리,9-1.,312805,32737,충청남도 금산군 금산읍 인삼로 21,"(금산읍, 금산여자고등학교)",36.10579382,127.4839931,041-753-6201,041-753-6205,http://www.geumsan-g.cnehs.kr,녀,N,,N
충청남도교육청,충청남도교육청,충청남도 논산시,S120000149,논산고등학교,04,공립,일반고등학교,N,단설,주간,19741227,19741227,4423010900,충청남도 논산시 내동,494-4번지.,320030,32988,충청남도 논산시 시민로 173-9,"(내동, 논산고등학교)",36.18190298,127.0981945,041-980-0500,041-980-0007,http://nsh.cnehs.kr,남,N,,N
충청남도교육청,충청남도교육청,충청남도 논산시,S120000150,국방항공고등학교,04,공립,특성화고등학교,N,단설,주간,19360422,19360422,4423010500,충청남도 논산시 취암동,536-1.,320804,32954,충청남도 논산시 시민로 365,"(취암동, 국방항공고등학교)",36.19775781,127.0878516,041-736-1634,041-736-1638,http://ndav.cnehs.kr,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 논산시,S120000151,논산대건고등학교,04,사립,일반고등학교,N,단설,주간,19460405,19460405,4423010600,충청남도 논산시 등화동,5번지.,320060,32960,충청남도 논산시 논산대로 119,(등화동),36.1843438,127.0781338,041-735-1961,041-735-1962,nonsandaegeon.cnehs.kr,남,N,,N
충청남도교육청,충청남도교육청,충청남도 논산시,S120000152,논산여자고등학교,04,공립,일반고등학교,N,단설,주간,19620305,19611222,4423010500,충청남도 논산시 취암동,462-5.,320804,32978,충청남도 논산시 중앙로 325,(취암동),36.19471158,127.0928381,041-735-3922,041-735-6412,http://nsghs.cnehs.kr,녀,N,,N
충청남도교육청,충청남도교육청,충청남도 논산시,S120000153,논산여자상업고등학교,04,사립,특성화고등학교,N,단설,주간,19801126,19801126,4423011000,,.,,32988,충청남도 논산시 시민로 197,"(강산동, 논산여상)",36.18377236,127.0956266,041-734-6668,041-733-6367,http://www.nonsan-gch.cnehs.kr,녀,N,,N
충청남도교육청,충청남도교육청,충청남도 당진시,S120000154,당진고등학교,04,공립,일반고등학교,N,단설,주간,19600512,19600512,4427010200,충청남도 당진시 당진읍 운학리,353번지.,343806,31784,충청남도 당진시 백암로 219-20,(채운동),36.89134831,126.6227931,041-351-2757,041-351-2706,http://dangjin.cnehs.kr,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 당진시,S120000157,당진정보고등학교,04,공립,특성화고등학교,N,단설,주간,19510901,19510901,4427010200,,.,,31784,충청남도 당진시 운학길 5,(채운동),36.89314974,126.6234057,041-351-9001,041-351-9009,http://www.dangjin-ih.cnehs.kr,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 보령시,S120000158,대천고등학교,04,공립,일반고등학교,N,단설,주간,19440501,19440501,4418010200,충청남도 보령시 죽정동,562번지.,355120,33441,충청남도 보령시 대고로 58,(죽정동),36.36548254,126.6037039,041-931-4362,041-931-4374,http://daechon.cnehs.kr,남,N,,N
충청남도교육청,충청남도교육청,충청남도 보령시,S120000160,대천여자고등학교,04,공립,일반고등학교,N,단설,주간,19640529,19640111,4418010100,충청남도 보령시 대천동,500-2.,355010,33451,충청남도 보령시 중앙로 264,(대천동),36.36065895,126.5844531,041-934-2416,041-934-2418,http://www.dcgirls.cnehs.kr,녀,N,,N
충청남도교육청,충청남도교육청,충청남도 보령시,S120000161,대천여자상업고등학교,04,공립,특성화고등학교,N,단설,주간,19821023,19821023,4418010700,충청남도 보령시 내항동,502번지(여상길 60).,355080,33492,충청남도 보령시 여상길 60,(내항동),36.33171125,126.5787395,041-931-6856,041-931-6859,http://dcg.cnehs.kr,녀,N,,N
충청남도교육청,충청남도교육청,충청남도 예산군,S120000162,대흥고등학교,04,사립,일반고등학교,N,병설,주간,19660222,19660222,4481034022,충청남도 예산군 대흥면 상중리,231,340843,32450,충청남도 예산군 대흥면 예당로 845,(대흥면),36.60471176,126.7920205,041-332-0013,041-332-2200,http://daeheung.cnehs.kr,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 예산군,S120000163,덕산고등학교,04,공립,일반고등학교,N,단설,주간,19550516,19550427,4481025326,충청남도 예산군 삽교읍 목리,405-2.,32411,32416,충청남도 예산군 삽교읍 예학로 138,"(삽교읍, 덕산고등학교)",36.6663075,126.6826831,041-337-3510,041-337-9702,http://yds.cnehs.kr,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 아산시,S120000164,아산스마트팩토리마이스터고등학교,04,공립,특수목적고등학교,N,단설,주간,19760310,19760310,4420036021,충청남도 아산시 둔포면 둔포리,235,336872,31404,충청남도 아산시 둔포면 둔포중앙로133번길 42,"(둔포면, 아산스마트팩토리마이스터고등학교)",36.92906779,127.0435718,041-422-4200,041-531-4941,http://smart.cnehs.kr,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 태안군,S120000165,만리포고등학교,04,공립,일반고등학교,N,단설,주간,19830315,19821023,4482534023,충청남도 태안군 소원면 신덕리,180번지.,357933,32120,충청남도 태안군 소원면 서해로 631,"(소원면, 만리포고등학교)",36.76027544,126.1907958,041-672-0432,041-674-5606,http://manripo.cnehs.kr,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 천안시 동남구,S120000166,목천고등학교,04,공립,일반고등학교,N,단설,주간,19760308,19751114,4413125000,충청남도 천안시 동남구 목천읍 서리,54-1.,330843,31231,충청남도 천안시 동남구 목천읍 삼방로 145,"(목천읍, 목천중고등학교)",36.78232828,127.2328711,041-559-1616,041-557-2439,http://mokcheon-h.caehs.kr,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 천안시 동남구,S120000167,병천고등학교,04,공립,특성화고등학교,N,단설,주간,19520609,19520515,4413136023,충청남도 천안시 동남구 병천면 탑원리,146-3.,330863,31256,충청남도 천안시 동남구 병천면 충절로 1872,"(병천면, 병천중고등학교)",36.76377495,127.3120834,041-561-9671,041-561-9674,http://www.bchs.caehs.kr,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 천안시 동남구,S120000168,복자여자고등학교,04,사립,일반고등학교,N,단설,주간,19630302,19630302,4413110200,충청남도 천안시 동남구 성황동,9-1.,330130,31122,충청남도 천안시 동남구 복자1길 1,"(성황동, 복자여자중고등학교)",36.81574669,127.151606,041-551-6001,041-555-7689,http://www.bokja.caehs.kr,녀,N,,N
충청남도교육청,충청남도교육청,충청남도 서산시,S120000169,부석고등학교,04,공립,일반고등학교,N,단설,주간,19741227,19741227,4421032026,,.,,32019,충청남도 서산시 부석면 무학로 1180-9,(부석면),36.71960905,126.4006755,041-667-0124,041-667-1110,http://buseok.cnehs.kr,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 부여군,S120000170,부여고등학교,04,공립,일반고등학교,N,단설,주간,19461020,19460920,4476025033,충청남도 부여군 부여읍 가탑리,259번지.,323802,33160,충청남도 부여군 부여읍 금성로91번길 3,"(부여읍,부여고등학교)",36.27316716,126.9236965,041-836-6000,041-836-6005,http://buyeo.cnehs.kr,남,N,,N
충청남도교육청,충청남도교육청,충청남도 부여군,S120000172,부여여자고등학교,04,공립,일반고등학교,N,단설,주간,19540927,19540927,4476025031,충청남도 부여군 부여읍 쌍북리,646-10번지.,323808,33136,충청남도 부여군 부여읍 부소로 47,"(부여읍, 부여여자고등학교)",36.28524545,126.9163872,041-835-4148,041-834-4151,http://buyeoyeo.cnehs.kr,녀,N,,N
충청남도교육청,충청남도교육청,충청남도 부여군,S120000173,부여전자고등학교,04,공립,특성화고등학교,N,단설,주간,19740320,19740105,4476041027,충청남도 부여군 임천면 만사리,199,323923,33221,충청남도 부여군 임천면 충절로 1027,"(임천면,부여전자고등학교)",36.17645828,126.8917948,041-833-2081,041-834-2059,http://www.garim.cnehs.kr,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 부여군,S120000174,부여정보고등학교,04,공립,특성화고등학교,N,단설,주간,19811125,19811125,4476031033,충청남도 부여군 규암면 외리,198번지.,323811,33123,충청남도 부여군 규암면 충절로2316번길 24,(규암면),36.2773112,126.881986,041-835-7987,041-836-4180,http://bishs.cnehs.kr,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 예산군,S120000175,삽교고등학교,04,사립,일반고등학교,N,단설,주간,19741227,19741227,4481025321,충청남도 예산군 삽교읍 두2리,532-40.,340903,32414,충청남도 예산군 삽교읍 삽교로 161,"(삽교읍, 삽교고등학교)",36.68775785,126.7478383,041-337-2893,041-338-0020,http://sapgyo.cnehs.kr,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 서산시,S120000176,서령고등학교,04,사립,일반고등학교,N,단설,주간,19560503,19550601,4421010200,충청남도 서산시 동문동,542번지.,356802,31965,충청남도 서산시 서령로 117-1,"(동문동,서령고등학교)",36.79305975,126.4592992,041-661-8620,041-664-8154,http://seoryeong.cnehs.kr,남,N,,N
충청남도교육청,충청남도교육청,충청남도 서산시,S120000177,서산고등학교,04,공립,일반고등학교,N,단설,주간,19720313,19711227,4421039021,충청남도 서산시 해미면 읍내리,426,356826,31960,충청남도 서산시 해미면 서문3길 37,"(해미면, 서산고등학교)",36.71577797,126.5467,041-689-0714,041-688-0096,http://seosan.cnehs.kr,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 서산시,S120000178,서산중앙고등학교,04,공립,일반고등학교,N,단설,주간,19430420,19430331,4421010200,,.,,32002,충청남도 서산시 벌말1길 23,"(동문동, 서산중앙고등학교)",36.77820131,126.4710917,041-665-2059,041-664-4335,http://www.sjh.cnehs.kr,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 서산시,S120000180,서산여자고등학교,04,공립,일반고등학교,N,단설,주간,19550518,19550427,4421010700,충청남도 서산시 석림동,486-1번지.,356030,32003,충청남도 서산시 정주골6길 27,(석림동),36.77002849,126.4675031,041-660-0490,041-664-3411,http://seosangs.cnehs.kr,녀,N,,N
충청남도교육청,충청남도교육청,충청남도 당진시,S120000181,서야고등학교,04,사립,일반고등학교,N,병설,주간,19580420,19580420,4427025031,충청남도 당진시 합덕읍 합덕리,262,343906,31814,충청남도 당진시 합덕읍 덕평로 335,(합덕읍),36.79217846,126.7879072,041-363-0712,041-363-0717,http://seo-ya.cnehs.kr,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 서산시,S120000182,서일고등학교,04,사립,일반고등학교,N,병설,주간,19741227,19741227,4421034021,충청남도 서산시 지곡면 화천리,산115-1번지.,356863,31919,충청남도 서산시 지곡면 화천3길 56,"(지곡면,서일고등학교)",36.85979428,126.4320891,041-669-1081,041-669-5734,http://www.seoilgo.cnehs.kr/,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 서천군,S120000183,서천고등학교,04,공립,일반고등학교,N,단설,주간,19530710,19530710,4477025322,충청남도 서천군 서천읍 사곡리,203,325806,33636,충청남도 서천군 서천읍 사곡로43번길 13-16,(서천읍),36.08605952,126.6896046,041-950-4900,041-953-9222,http://seocheon.cnehs.kr,남,N,,N
충청남도교육청,충청남도교육청,충청남도 서천군,S120000184,서천여자고등학교,04,공립,자율고등학교,N,병설,주간,19461016,19461016,4477025321,충청남도 서천군 서천읍 군사리,서천여자중학교.,325802,33638,충청남도 서천군 서천읍 군청로 84,", 서천여자중고등학교 (서천읍)",36.08148788,126.6935483,041-950-7000,041-953-0264,http://www.seocheon-gl.cnehs.kr/,녀,N,,N
충청남도교육청,충청남도교육청,충청남도 서천군,S120000186,한국미래문화고등학교,04,사립,특성화고등학교,N,단설,주간,19741227,19741227,4477025330,충청남도 서천군 서천읍 화금리,607번지.,325804,33636,충청남도 서천군 서천읍 화금서길 55,"(사곡리, 한국미래문화고등학교)",36.08419661,126.7009089,041-953-3501,041-953-3503,http://kfch.cnehs.kr/,녀,N,,N
충청남도교육청,충청남도교육청,충청남도 홍성군,S120000187,서해삼육고등학교,04,사립,일반고등학교,N,단설,주간,19631212,19631212,4480025322,충청남도 홍성군 광천읍 광천리,165,350902,32292,충청남도 홍성군 광천읍 홍남로705번길 23,(광천읍),36.50702711,126.6274837,041-641-0938,041-642-0937,http://seohae36.cnehs.kr,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 천안시 서북구,S120000189,충남관광보건고등학교,04,공립,특성화고등학교,N,단설,주간,19650310,19641208,4413325027,충청남도 천안시 서북구 성환읍 송덕리,55,331807,31008,충청남도 천안시 서북구 성환읍 신방로 354,(성환읍),36.92389249,127.1154092,041-588-2001,041-588-2011,http://cnth.caehs.kr,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 당진시,S120000190,송악고등학교,04,사립,일반고등학교,N,병설,주간,19751114,19751114,4427025342,충청남도 당진시 송악읍 가학리,395,343822,31732,충청남도 당진시 송악읍 송악로 165,(송악읍),36.91692738,126.7037859,041-351-6231,041-351-6299,http://songak.cnehs.kr,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 당진시,S120000191,신평고등학교,04,사립,일반고등학교,N,단설,주간,19720626,19720626,4427038021,충청남도 당진시 신평면 금천리,998-5.,343812,31746,충청남도 당진시 신평면 서해로 7076,"(신평면, 신평고등학교)",36.88308591,126.7614704,041-430-3030,041-362-5941,http://sp.cnehs.kr,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 논산시,S120000193,쌘뽈여자고등학교,04,사립,일반고등학교,N,단설,주간,19611230,19611230,4423010400,충청남도 논산시 부창동,1번지.,320080,32954,충청남도 논산시 시민로 411,(부창동),36.20051709,127.0856442,041-735-2864,041-732-4795,http://stpaul.cnehs.kr,녀,N,,N
충청남도교육청,충청남도교육청,충청남도 아산시,S120000194,아산고등학교,04,사립,일반고등학교,N,단설,주간,19721226,19721226,4420010100,충청남도 아산시 온천동,30-3.,336010,31511,충청남도 아산시 번영로115번길 21,(온천동),36.78874498,127.0048086,041-542-3171,041-545-3126,http://www.asan.cnehs.kr,남,N,,N
충청남도교육청,충청남도교육청,충청남도 태안군,S120000195,안면고등학교,04,공립,일반고등학교,N,단설,주간,19721206,19721206,4482525321,충청남도 태안군 안면읍 승언리,60-27번지.,357961,32166,충청남도 태안군 안면읍 조운막터길 73,"(안면읍, 안면고등학교)",36.50939919,126.3559738,041-674-7843,041-674-7848,http://www.anmyeon.cnehs.kr,남녀공학,N,,N
충청남도교육청,충청남도교육청,충청남도 논산시,S120000197,연무고등학교,04,사립,일반고등학교,N,단설,주간,19751114,19751114,4423025324,충청남도 논산시 연무읍 동산리,879,320833,33009,충청남도 논산시 연무읍 동안로887번길 5,"(연무읍, 연무고등학교,연무여자중학교)",36.13466739,127.1041171,041-741-5674,041-742-3307,http://yeonmu.cnehs.kr,남녀공학,N,,N
